"","Cancer Site","Year","Tumour Type","Age","Region","Gender","Deprivation","Ethnicity - White","Ethnicity - Asian excl Chinese","Ethnicity - Black","Ethnicity - Chinese","Ethnicity - Mixed","Ethnicity - Other","Ethnicity - Unknown","Death Certificate Only"
"616","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","494","0","1","1","0","2","174","0"
"617","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","502","0","0","0","2","4","71","0"
"618","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","447","1","0","0","1","1","100","0"
"619","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","472","0","1","0","0","2","74","0"
"620","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","419","1","0","0","0","2","98","0"
"621","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","415","1","0","0","0","2","228","0"
"622","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","390","0","0","0","1","3","238","0"
"623","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","374","0","0","0","0","3","64","0"
"624","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","326","2","1","0","0","3","77","0"
"625","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","452","0","0","0","0","0","62","0"
"626","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","548","0","0","0","0","3","75","0"
"627","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","214","1","1","0","1","0","86","0"
"628","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","257","2","0","0","0","6","69","0"
"629","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","573","0","0","0","0","2","116","0"
"630","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","771","1","0","1","0","2","159","0"
"631","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","517","1","0","0","0","0","61","0"
"632","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","692","0","0","0","2","2","74","0"
"633","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","515","0","0","0","0","1","67","0"
"634","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","586","0","2","0","0","1","73","0"
"635","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","496","1","0","0","1","2","202","0"
"636","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","618","0","1","0","0","3","195","0"
"637","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","466","0","0","0","0","1","49","0"
"638","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","515","0","0","0","0","4","63","0"
"639","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","601","0","0","0","3","1","46","0"
"640","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","780","0","1","1","2","1","43","0"
"641","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","342","2","0","0","0","8","69","0"
"642","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","419","3","0","0","2","7","70","0"
"643","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","841","1","1","1","0","1","122","0"
"644","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","1144","2","1","0","0","0","122","0"
"645","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","726","0","0","0","0","2","58","0"
"646","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","915","0","0","0","0","0","79","0"
"647","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","649","0","0","0","0","1","71","0"
"648","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","792","2","1","0","0","0","75","0"
"649","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","727","0","0","0","0","5","203","0"
"650","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","973","0","0","0","0","3","188","0"
"651","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","571","1","0","0","0","2","54","0"
"652","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","762","0","0","0","1","1","49","0"
"653","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","608","0","0","0","1","2","44","0"
"654","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","697","0","0","0","1","1","30","0"
"655","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","408","2","1","1","0","9","69","0"
"656","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","411","0","1","0","0","7","56","0"
"657","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","784","0","0","0","1","2","98","0"
"658","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","865","0","0","0","0","4","71","0"
"659","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","703","2","0","0","0","0","47","0"
"660","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","705","0","0","0","0","0","22","0"
"661","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","560","0","0","0","1","1","58","0"
"662","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","566","0","0","0","2","0","35","0"
"663","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","822","1","1","0","0","7","164","1"
"664","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","858","1","1","0","2","2","123","0"
"665","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","602","0","1","0","0","1","31","0"
"666","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","620","0","0","0","0","1","32","0"
"667","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","188","0","0","0","0","1","46","0"
"668","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","179","1","0","0","0","1","72","0"
"669","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","96","0","1","0","0","5","88","0"
"670","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","94","0","0","0","0","4","98","0"
"671","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","273","1","0","0","0","1","86","0"
"672","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","218","1","0","0","0","1","99","0"
"673","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","250","0","0","0","1","2","55","0"
"674","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","210","0","0","0","0","1","48","0"
"675","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","315","0","0","0","0","0","64","0"
"676","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","197","0","0","0","0","2","49","0"
"677","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","240","1","0","0","0","5","172","0"
"678","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","172","0","0","0","0","2","164","0"
"679","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","208","0","0","0","2","2","31","0"
"680","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","167","0","0","0","0","0","54","0"
"681","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","157","0","0","0","0","0","30","0"
"682","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","271","0","0","0","1","1","49","0"
"683","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","69","0","0","0","0","3","32","0"
"684","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","111","1","1","0","0","4","47","0"
"685","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","144","1","0","0","1","0","46","0"
"686","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","318","0","0","0","0","2","71","0"
"687","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","145","0","0","0","0","0","28","0"
"688","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","240","0","1","0","0","0","37","0"
"689","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","149","0","0","0","0","0","24","0"
"690","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","234","0","1","0","0","1","58","0"
"691","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","185","0","0","0","0","2","104","0"
"692","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","351","0","0","0","0","2","145","0"
"693","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","150","1","0","0","1","1","28","0"
"694","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","287","0","0","0","0","1","48","0"
"695","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","111","0","0","0","0","0","15","0"
"696","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","311","0","0","0","1","0","26","0"
"697","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","72","0","0","1","0","1","21","0"
"698","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","158","0","0","0","0","0","29","0"
"699","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","151","0","0","0","0","1","31","0"
"700","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","366","0","0","0","1","1","49","0"
"701","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","112","0","0","0","0","0","9","0"
"702","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","298","0","0","0","0","2","27","0"
"703","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","116","0","0","0","0","0","14","0"
"704","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","300","0","0","0","0","0","31","0"
"705","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","171","0","0","0","0","0","66","0"
"706","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","447","0","1","0","1","3","102","0"
"707","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","137","0","0","0","0","3","10","0"
"708","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","291","0","0","0","0","0","37","0"
"709","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","83","0","1","0","0","0","8","0"
"710","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","198","0","0","0","2","1","11","0"
"711","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","57","0","0","0","0","2","12","0"
"712","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","118","0","0","0","0","2","20","0"
"713","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","104","0","0","0","0","0","10","0"
"714","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","217","0","0","0","1","0","19","0"
"715","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","66","0","0","0","0","0","13","0"
"716","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","165","0","0","0","0","1","16","0"
"717","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","65","0","0","0","0","0","6","0"
"718","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","162","0","0","0","0","0","7","0"
"719","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","110","0","0","0","0","0","34","0"
"720","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","281","0","0","0","2","0","48","0"
"721","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","99","0","1","0","0","0","2","0"
"722","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","185","0","0","0","0","0","12","0"
"723","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","89","0","0","0","0","0","22","0"
"724","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","64","0","0","0","0","1","24","0"
"725","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","108","0","1","0","0","0","30","0"
"726","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","91","0","1","0","0","1","40","0"
"727","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","88","0","0","0","1","0","26","0"
"728","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","75","0","0","0","0","0","23","0"
"729","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","88","0","0","0","0","1","66","0"
"730","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","71","0","0","0","0","0","89","0"
"731","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","80","0","1","0","0","0","20","0"
"732","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","91","0","1","0","0","0","26","0"
"733","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","61","0","0","0","0","0","8","0"
"734","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","108","0","0","0","0","3","17","0"
"735","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","79","0","0","0","0","1","21","0"
"736","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","125","0","0","0","0","0","24","0"
"737","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","66","0","0","0","0","0","8","0"
"738","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","119","0","0","0","0","0","9","0"
"739","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","98","0","0","1","0","0","47","0"
"740","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","140","1","0","0","0","1","57","0"
"741","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","90","0","0","0","0","0","16","0"
"742","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","120","0","0","0","0","1","19","0"
"743","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","98","0","0","0","0","0","14","0"
"744","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","143","0","0","0","0","0","11","0"
"745","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","87","0","0","0","0","0","21","0"
"746","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","173","0","0","0","0","0","22","0"
"747","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","77","0","0","0","0","0","7","0"
"748","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","136","0","0","0","0","0","8","0"
"749","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","101","1","1","0","0","0","34","0"
"750","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","204","0","0","0","0","1","42","0"
"751","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","97","0","1","0","0","0","6","0"
"752","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","123","0","0","1","0","1","15","0"
"753","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","61","0","0","0","0","0","7","0"
"754","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","104","0","0","0","0","0","5","0"
"755","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","76","0","0","0","0","0","9","0"
"756","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","85","1","0","0","0","0","8","0"
"757","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","54","0","0","0","0","0","2","0"
"758","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","69","0","0","0","0","0","4","0"
"759","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","84","0","0","0","0","1","32","0"
"760","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","130","0","0","0","0","1","32","0"
"761","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","72","0","0","0","0","0","8","0"
"762","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","84","0","0","0","0","0","4","0"
"763","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","89","0","0","0","1","1","17","0"
"764","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","74","0","0","0","0","0","5","0"
"765","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","113","0","1","0","0","0","25","0"
"766","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","64","0","0","0","0","0","11","0"
"767","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","119","0","0","0","0","2","60","0"
"768","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","87","0","0","0","0","0","35","0"
"769","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","101","0","0","0","0","0","20","0"
"770","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","64","0","0","0","0","0","12","0"
"771","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","162","0","0","0","1","2","13","0"
"772","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","97","0","0","0","0","0","4","0"
"773","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","181","1","0","0","0","0","36","0"
"774","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","124","0","0","0","0","0","9","0"
"775","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","160","1","0","0","0","0","17","0"
"776","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","73","0","0","0","0","0","9","0"
"777","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","133","0","0","0","0","0","15","0"
"778","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","91","0","1","0","0","0","8","0"
"779","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","195","0","0","0","0","1","58","0"
"780","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","138","0","0","0","0","0","28","0"
"781","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","167","0","0","0","0","1","16","0"
"782","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","97","0","0","0","0","0","7","0"
"783","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","168","0","0","0","0","0","8","0"
"784","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","76","0","0","0","0","0","6","0"
"785","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","114","0","0","0","0","1","30","0"
"786","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","54","0","0","0","0","1","8","0"
"787","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","182","0","0","0","0","0","25","0"
"788","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","64","0","0","0","1","0","6","0"
"789","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","236","0","0","0","0","0","37","0"
"790","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","117","0","0","0","0","0","11","0"
"791","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","191","0","0","0","0","0","10","0"
"792","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","93","0","0","0","0","0","12","0"
"793","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","194","1","0","0","0","0","42","0"
"794","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","125","1","0","0","0","1","73","0"
"795","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","91","1","0","0","2","3","122","0"
"796","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","75","0","0","0","0","2","133","0"
"797","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","118","0","0","0","1","0","44","0"
"798","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","102","0","0","0","0","1","36","0"
"799","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","146","1","1","0","0","1","46","0"
"800","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","107","0","0","0","0","1","24","0"
"801","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","147","1","0","0","0","0","33","0"
"802","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","107","0","1","0","0","0","26","0"
"803","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","143","1","0","0","1","4","95","0"
"804","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","117","0","0","0","0","1","90","0"
"805","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","155","0","0","0","1","1","47","0"
"806","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","122","0","0","0","0","2","72","0"
"807","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","163","0","0","0","1","1","36","0"
"808","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","195","0","0","1","0","0","46","0"
"809","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","87","1","0","0","0","2","38","0"
"810","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","116","1","0","0","0","2","57","0"
"811","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","87","0","0","0","0","0","20","0"
"812","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","139","0","0","0","0","0","36","0"
"813","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","145","0","1","0","0","0","26","0"
"814","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","153","1","1","0","0","1","27","0"
"815","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","115","0","0","0","0","0","20","0"
"816","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","124","0","1","0","0","0","22","0"
"817","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","167","1","0","0","0","2","70","0"
"818","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","193","0","0","0","0","2","88","0"
"819","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","162","1","1","0","0","2","35","0"
"820","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","177","0","0","0","0","2","37","0"
"821","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","195","0","0","0","0","0","31","0"
"822","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","222","0","0","0","0","2","29","0"
"823","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","113","0","0","0","0","2","52","0"
"824","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","182","1","0","0","1","2","43","0"
"825","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","134","0","1","0","0","0","23","0"
"826","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","184","0","0","0","0","0","27","0"
"827","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","142","2","0","1","0","0","26","0"
"828","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","206","1","0","0","0","0","23","0"
"829","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","116","0","0","1","0","0","20","0"
"830","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","148","0","0","0","0","0","17","0"
"831","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","197","0","0","0","0","0","83","0"
"832","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","295","0","0","0","1","1","72","0"
"833","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","178","0","0","0","0","0","37","0"
"834","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","253","0","0","0","0","2","49","0"
"835","Skin tumours","2014","Skin cancer","Age 25+","East of England","Female","All","173","0","0","0","1","1","22","0"
"836","Skin tumours","2014","Skin cancer","Age 25+","East of England","Male","All","242","0","0","0","1","0","17","0"
"837","Skin tumours","2014","Skin cancer","Age 25+","London","Female","All","138","1","1","0","0","5","32","2"
"838","Skin tumours","2014","Skin cancer","Age 25+","London","Male","All","147","0","0","1","0","0","38","0"
"839","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Female","All","119","0","0","0","0","1","31","0"
"840","Skin tumours","2014","Skin cancer","Age 25+","Midlands","Male","All","167","0","0","0","0","0","26","0"
"841","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Female","All","179","1","0","0","0","0","25","0"
"842","Skin tumours","2014","Skin cancer","Age 25+","North East and Yorkshire","Male","All","169","0","0","0","0","0","18","0"
"843","Skin tumours","2014","Skin cancer","Age 25+","North West","Female","All","113","0","0","0","0","0","15","0"
"844","Skin tumours","2014","Skin cancer","Age 25+","North West","Male","All","124","0","0","0","0","0","10","0"
"845","Skin tumours","2014","Skin cancer","Age 25+","South East","Female","All","251","0","0","0","0","1","60","0"
"846","Skin tumours","2014","Skin cancer","Age 25+","South East","Male","All","281","0","0","0","0","4","56","0"
"847","Skin tumours","2014","Skin cancer","Age 25+","South West","Female","All","185","0","0","0","0","0","30","0"
"848","Skin tumours","2014","Skin cancer","Age 25+","South West","Male","All","202","0","0","0","0","0","19","0"
"849","Skin tumours","2014","Skin cancer","Age 00-39","All England","Female","All","212","1","1","0","0","1","43",".b"
"850","Skin tumours","2014","Skin cancer","Age 00-39","All England","Male","All","126","3","0","0","0","2","31",".b"
"851","Skin tumours","2014","Skin cancer","Age 40+","East of England","Female","All","217","0","0","0","0","1","16",".b"
"852","Skin tumours","2014","Skin cancer","Age 40+","East of England","Male","All","269","0","0","0","1","0","22",".b"
"853","Skin tumours","2014","Skin cancer","Age 40+","London","Female","All","110","1","0","0","0","1","10",".b"
"854","Skin tumours","2014","Skin cancer","Age 40+","London","Male","All","150","0","0","0","1","4","16",".b"
"855","Skin tumours","2014","Skin cancer","Age 40+","Midlands","Female","All","238","0","0","0","0","1","63",".b"
"856","Skin tumours","2014","Skin cancer","Age 40+","Midlands","Male","All","308","0","1","0","0","1","64",".b"
"857","Skin tumours","2014","Skin cancer","Age 40+","North East and Yorkshire","Female","All","248","1","0","0","0","0","26",".b"
"858","Skin tumours","2014","Skin cancer","Age 40+","North East and Yorkshire","Male","All","307","0","0","0","0","0","44",".b"
"859","Skin tumours","2014","Skin cancer","Age 40+","North West","Female","All","248","0","0","0","0","0","38",".b"
"860","Skin tumours","2014","Skin cancer","Age 40+","North West","Male","All","286","0","2","0","0","1","34",".b"
"861","Skin tumours","2014","Skin cancer","Age 40+","South East","Female","All","228","0","0","0","0","4","28",".b"
"862","Skin tumours","2014","Skin cancer","Age 40+","South East","Male","All","304","0","0","0","0","3","60",".b"
"863","Skin tumours","2014","Skin cancer","Age 40+","South West","Female","All","237","0","0","0","0","1","24",".b"
"864","Skin tumours","2014","Skin cancer","Age 40+","South West","Male","All","258","0","0","0","0","0","19",".b"
"865","Skin tumours","2014","Skin cancer","Age 40+","East of England","Female","All","213","0","0","0","0","1","15",".b"
"866","Skin tumours","2014","Skin cancer","Age 40+","East of England","Male","All","361","0","0","0","0","1","18",".b"
"867","Skin tumours","2014","Skin cancer","Age 40+","London","Female","All","98","0","0","0","0","0","8",".b"
"868","Skin tumours","2014","Skin cancer","Age 40+","London","Male","All","150","0","0","0","1","0","10",".b"
"869","Skin tumours","2014","Skin cancer","Age 40+","Midlands","Female","All","280","0","0","0","0","1","30",".b"
"870","Skin tumours","2014","Skin cancer","Age 40+","Midlands","Male","All","451","0","0","0","0","0","34",".b"
"871","Skin tumours","2014","Skin cancer","Age 40+","North East and Yorkshire","Female","All","315","0","0","0","0","1","29",".b"
"872","Skin tumours","2014","Skin cancer","Age 40+","North East and Yorkshire","Male","All","485","0","0","0","0","1","14",".b"
"873","Skin tumours","2014","Skin cancer","Age 40+","North West","Female","All","273","0","1","0","0","0","31",".b"
"874","Skin tumours","2014","Skin cancer","Age 40+","North West","Male","All","395","0","0","0","0","0","31",".b"
"875","Skin tumours","2014","Skin cancer","Age 40+","South East","Female","All","274","0","0","0","0","2","27",".b"
"876","Skin tumours","2014","Skin cancer","Age 40+","South East","Male","All","449","0","0","0","0","0","33",".b"
"877","Skin tumours","2014","Skin cancer","Age 40+","South West","Female","All","261","0","0","0","0","1","18",".b"
"878","Skin tumours","2014","Skin cancer","Age 40+","South West","Male","All","400","0","0","0","0","0","13",".b"
"879","Skin tumours","2014","Skin cancer","Age 40+","East of England","Female","All","231","0","0","0","2","0","15",".b"
